customer_id,first_name,last_name,email,join_date,premium_member
1,John,Smith,john.smith@email.com,2020-03-15,TRUE
2,Emily,Johnson,emily.j@email.com,2021-08-22,TRUE
3,Michael,Williams,mwilliams@email.com,2019-11-05,FALSE
4,Jessica,Brown,jess.brown@email.com,2022-01-17,TRUE
5,David,Jones,david.jones@email.com,2020-07-28,FALSE
6,Sarah,Miller,sarahm@email.com,2021-04-10,TRUE
7,Robert,Davis,rdavis@email.com,2022-09-03,TRUE
8,Jennifer,Garcia,jgarcia@email.com,2019-05-21,FALSE
9,Thomas,Martinez,tmartinez@email.com,2020-12-12,TRUE
10,Lisa,Anderson,lisa.a@email.com,2021-06-30,FALSE
11,James,Taylor,jtaylor@email.com,2022-03-15,TRUE
12,Maria,Hernandez,mhernandez@email.com,2020-02-08,TRUE
13,Christopher,Moore,chris.moore@email.com,2021-10-19,FALSE
14,Amanda,Lopez,alopez@email.com,2022-07-07,TRUE
15,Daniel,Gonzalez,dgonzalez@email.com,2019-09-14,FALSE
16,Michelle,Wilson,mwilson@email.com,2020-05-25,TRUE
17,Andrew,Lee,alee@email.com,2021-01-11,FALSE
18,Elizabeth,White,e.white@email.com,2022-11-08,TRUE
19,Kevin,Harris,kharris@email.com,2019-12-30,TRUE
20,Patricia,Clark,pclark@email.com,2020-08-16,FALSE
